strain	Sample	idnum	specnum	date	Isolate_from	species	ST	cluster
ERR2303581	KPN194	NCSE-06	OM2014-0828	2014-03-03	environmental	Klebsiella quasipneumoniae subsp. similipneumoniae	ST334	41
ERR2303582	KPN195	NCS-0140	OM2014-0832	2014-03-03	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST334	41
ERR2303583	KPN196	NCS-0142	OM2014-0833	2014-03-03	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST334	41
ERR2303584	KPN197	NCS-0142	OM2014-0833	2014-03-03	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST334	44
ERR2303585	KPN198	NCS-0146	OM2014-0834	2014-03-03	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST334	44
ERR2303586	KPN199	NCS-0148	OM2014-0835	2014-03-03	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST1834-2LV	46
ERR2303587	KPN200	NCS-0151	OM2014-0837	2014-03-03	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST414	47
ERR2303588	KPN201	NCS-0152	OM2014-0838	2014-03-03	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST414	47
ERR2303589	KPN202	NCS-0153	OM2014-0839	2014-03-03	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST1834-2LV	46
ERR2303590	KPN203	NCS-0153	OM2014-0839	2014-03-03	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST334	41
ERR2303591	KPN204	NCS-0154	OM2014-0840	2014-03-03	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST1834-2LV	46
ERR2303592	KPN205	NCS-0158	OM2014-0851	2014-03-03	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST1308	45
ERR2303593	KPN206	NCS-0158	OM2014-0851	2014-03-03	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST1697	48
ERR2303594	KPN207	NCS-0157	OM2014-0852	2014-03-03	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST334	41
ERR2303595	KPN208	NCS-0152	OM2014-0859	2014-03-04	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST334	44
ERR2303596	KPN209	NCS-0154	OM2014-0860	2014-03-04	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST334	44
ERR2303597	KPN210	NCS-0159	OM2014-0866	2014-03-05	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST334	44
ERR2303598	KPN211	NCS-0159	OM2014-0866	2014-03-05	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST334	49
ERR2303599	KPN212	NCS-0149	OM2014-0867	2014-03-05	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST1697	48
ERR2303600	KPN213	NCS-0149	OM2014-0867	2014-03-05	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST334	44
ERR2303601	KPN214	NCS-0142	OM2014-0881	2014-03-06	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST1697	48
ERR2303602	KPN215	NCS-0146	OM2014-0882	2014-03-06	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST334	49
ERR2303603	KPN216	NCS-0149	OM2014-0883	2014-03-06	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST334	44
ERR2303604	KPN217	NCS-0149	OM2014-0883	2014-03-06	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST334	44
ERR2303605	KPN218	NCS-0157	OM2014-0886	2014-03-06	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST334	41
ERR2303606	KPN219	NCS-0159	OM2014-0887	2014-03-06	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST1308	45
ERR2303607	KPN220	NCS-0158	OM2014-0888	2014-03-06	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST283-2LV	50
ERR2303608	KPN221	NCS-0157	OM2014-0905	2014-03-07	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST283-2LV	50
ERR2303609	KPN222	NCS-0142	OM2014-0937	2014-03-10	carriage	Klebsiella variicola	ST1210-1LV	51
ERR2303610	KPN223	NCS-0149	OM2014-0939	2014-03-10	carriage	Klebsiella variicola	ST368-2LV	52
ERR2303611	KPN224	NCS-0159	OM2014-0940	2014-03-10	carriage	Klebsiella variicola	ST368-2LV	52
ERR2303412	KPN25	NCSE-02	OM2014-0061	2014-01-06	environmental	Klebsiella pneumoniae	ST15	15
ERR2303413	KPN26	NCSE-02	OM2014-0061	2014-01-06	environmental	Klebsiella pneumoniae	ST17-1LV	16
ERR2303414	KPN27	NCSE-03	OM2014-0062	2014-01-06	environmental	Klebsiella pneumoniae	ST17	17
ERR2303415	KPN28	NCSE-06	OM2014-0065	2014-01-06	environmental	Klebsiella pneumoniae	ST15	15
ERR2303416	KPN29	NCSE-06	OM2014-0065	2014-01-06	environmental	Klebsiella pneumoniae	ST950	6
ERR2303417	KPN30	NCS-0100	OM2014-0091	2014-01-08	carriage	Klebsiella pneumoniae	ST252	2
ERR2303418	KPN31	NCS-0092	OM2014-0094	2014-01-08	carriage	Klebsiella pneumoniae	ST394	12
ERR2303419	KPN32	NCS-0092	OM2014-0094	2014-01-08	carriage	Klebsiella pneumoniae	ST409	13
ERR2303420	KPN33	NCS-0098	OM2014-0097	2014-01-09	carriage	Klebsiella pneumoniae	ST29	18
ERR2303421	KPN34	NCS-0101	OM2014-0100	2014-01-09	carriage	Klebsiella pneumoniae	ST17	17
ERR2303422	KPN35	NCS-0105	OM2014-0132	2014-01-11	carriage	Klebsiella pneumoniae	ST29	18
ERR2303423	KPN36	NCS-0105	OM2014-0132	2014-01-11	carriage	Klebsiella pneumoniae	ST1074-1LV	7
ERR2303424	KPN37	NCS-0098	OM2014-0140	2014-01-12	carriage	Klebsiella pneumoniae	ST1074-1LV	7
ERR2303425	KPN38	NCS-0098	OM2014-0140	2014-01-12	carriage	Klebsiella pneumoniae	ST1074-1LV	10
ERR2303426	KPN39	NCS-0098	OM2014-0140	2014-01-12	carriage	Klebsiella pneumoniae	ST626	14
ERR2303427	KPN40	NCS-0096	OM2014-0146	2014-01-13	carriage	Klebsiella pneumoniae	ST1074-1LV	7
ERR2303428	KPN41	NCS-0105	OM2014-0147	2014-01-13	carriage	Klebsiella pneumoniae	ST409	13
ERR2303429	KPN42	NCS-0105	OM2014-0147	2014-01-13	carriage	Klebsiella pneumoniae	ST1074-1LV	7
ERR2303430	KPN43	NCS-0103	OM2014-0148	2014-01-13	carriage	Klebsiella pneumoniae	ST1074-1LV	7
ERR2303431	KPN44	NCS-0103	OM2014-0148	2014-01-13	carriage	Klebsiella pneumoniae	ST1074-1LV	7
ERR2303432	KPN45	NCS-0104	OM2014-0151	2014-01-13	carriage	Klebsiella pneumoniae	ST409	13
ERR2303433	KPN46	NCSE-02	OM2014-0154	2014-01-13	environmental	Klebsiella pneumoniae	ST20	19
ERR2303434	KPN47	NCS-0107	OM2014-0174	2014-01-14	carriage	Klebsiella pneumoniae	ST626	14
ERR2303435	KPN48	NCS-0107	OM2014-0174	2014-01-14	carriage	Klebsiella pneumoniae	ST1411	5
ERR2303436	KPN49	NCS-0104	OM2014-0175	2014-01-14	carriage	Klebsiella pneumoniae	ST101	20
ERR2303437	KPN50	NCS-0091	OM2014-0177	2014-01-14	carriage	Klebsiella pneumoniae	ST244	11
ERR2303438	KPN51	NCS-0091	OM2014-0177	2014-01-14	carriage	Klebsiella pneumoniae	ST626	14
ERR2303439	KPN52	NCS-0091	OM2014-0177	2014-01-14	carriage	Klebsiella pneumoniae	ST1074-1LV	7
ERR2303440	KPN53	NCS-0109	OM2014-0187	2014-01-15	carriage	Klebsiella pneumoniae	ST29	18
ERR2303441	KPN54	NCS-0109	OM2014-0187	2014-01-15	carriage	Klebsiella pneumoniae	ST409	13
ERR2303442	KPN55	NCS-0096	OM2014-0191	2014-01-16	carriage	Klebsiella pneumoniae	ST29	18
ERR2303443	KPN56	NCS-0108	OM2014-0192	2014-01-16	carriage	Klebsiella pneumoniae	ST76	21
ERR2303444	KPN57	NCS-0105	OM2014-0193	2014-01-16	carriage	Klebsiella pneumoniae	ST101	20
ERR2303445	KPN58	NCS-0105	OM2014-0193	2014-01-16	carriage	Klebsiella pneumoniae	ST17	17
ERR2303446	KPN59	NCS-0092	OM2014-0195	2014-01-16	carriage	Klebsiella pneumoniae	ST37	22
ERR2303447	KPN60	NCS-0103	OM2014-0196	2014-01-16	carriage	Klebsiella pneumoniae	ST432	23
ERR2303448	KPN61	NCS-0103	OM2014-0196	2014-01-16	carriage	Klebsiella pneumoniae	ST252	2
ERR2303449	KPN62	NCS-0107	OM2014-0197	2014-01-16	carriage	Klebsiella pneumoniae	ST896	24
ERR2303450	KPN63	NCS-0105	OM2014-0215	2014-01-17	carriage	Klebsiella pneumoniae	ST37	25
ERR2303451	KPN64	NCS-0108	OM2014-0241	2014-01-20	carriage	Klebsiella pneumoniae	ST17-1LV	16
ERR2303452	KPN65	NCS-0108	OM2014-0241	2014-01-20	carriage	Klebsiella pneumoniae	ST490	26
ERR2303453	KPN66	NCS-0111	OM2014-0242	2014-01-20	carriage	Klebsiella pneumoniae	ST17	17
ERR2303454	KPN67	NCS-0111	OM2014-0242	2014-01-20	carriage	Klebsiella pneumoniae	ST101	20
ERR2303455	KPN68	NCS-0109	OM2014-0243	2014-01-20	carriage	Klebsiella pneumoniae	ST29	18
ERR2303456	KPN69	NCS-0109	OM2014-0243	2014-01-20	carriage	Klebsiella pneumoniae	ST101	20
ERR2303457	KPN70	NCS-0112	OM2014-0244	2014-01-20	carriage	Klebsiella pneumoniae	ST1074-1LV	7
ERR2303458	KPN71	NCS-0096	OM2014-0245	2014-01-20	carriage	Klebsiella pneumoniae	ST409	13
ERR2303459	KPN72	NCS-0096	OM2014-0245	2014-01-20	carriage	Klebsiella pneumoniae	ST101	20
ERR2303460	KPN73	NCS-0103	OM2014-0246	2014-01-20	carriage	Klebsiella pneumoniae	ST626	14
ERR2303461	KPN74	NCS-0092	OM2014-0247	2014-01-20	carriage	Klebsiella pneumoniae	ST37	25
ERR2303462	KPN75	NCSE-02	OM2014-0249	2014-01-20	environmental	Klebsiella pneumoniae	ST101	20
ERR2303463	KPN76	NCSE-06	OM2014-0253	2014-01-20	environmental	Klebsiella pneumoniae	ST1035	27
ERR2303464	KPN77	NCS-0114	OM2014-0270	2014-01-21	carriage	Klebsiella pneumoniae	ST101	20
ERR2303465	KPN78	NCS-0114	OM2014-0270	2014-01-21	carriage	Klebsiella pneumoniae	ST896	24
ERR2303466	KPN79	NCS-0111	OM2014-0275	2014-01-21	carriage	Klebsiella pneumoniae	ST37	22
ERR2303467	KPN80	NCS-0111	OM2014-0275	2014-01-21	carriage	Klebsiella pneumoniae	ST432	23
ERR2303468	KPN81	NCS-0108	OM2014-0281	2014-01-21	carriage	Klebsiella pneumoniae	ST896	24
ERR2303469	KPN82	NCS-0108	OM2014-0281	2014-01-21	carriage	Klebsiella pneumoniae	ST1411	5
ERR2303470	KPN83	NCS-0109	OM2014-0282	2014-01-23	carriage	Klebsiella pneumoniae	ST101	20
ERR2303471	KPN84	NCS-0092	OM2014-0283	2014-01-23	carriage	Klebsiella pneumoniae	ST1411	5
ERR2303472	KPN85	NCS-0096	OM2014-0284	2014-01-23	carriage	Klebsiella pneumoniae	ST409	13
ERR2303473	KPN86	NCS-0096	OM2014-0284	2014-01-23	carriage	Klebsiella pneumoniae	ST29	18
ERR2303474	KPN87	NCS-0114	OM2014-0285	2014-01-23	carriage	Klebsiella pneumoniae	ST101	20
ERR2303475	KPN88	NCS-0113	OM2014-0287	2014-01-23	carriage	Klebsiella pneumoniae	ST1074-1LV	7
ERR2303476	KPN89	NCS-0112	OM2014-0289	2014-01-23	carriage	Klebsiella pneumoniae	ST101	20
ERR2303477	KPN90	NCS-0096	OM2014-0301	2014-01-24	carriage	Klebsiella pneumoniae	ST29	18
ERR2303478	KPN91	NCS-0103	OM2014-0320	2014-01-27	carriage	Klebsiella pneumoniae	ST409	13
ERR2303479	KPN92	NCS-0113	OM2014-0321	2014-01-27	carriage	Klebsiella pneumoniae	ST563-1LV	28
ERR2303480	KPN93	NCS-0112	OM2014-0323	2014-01-27	carriage	Klebsiella pneumoniae	ST37	29
ERR2303481	KPN94	NCS-0112	OM2014-0323	2014-01-27	carriage	Klebsiella pneumoniae	ST409	13
ERR2303482	KPN95	NCS-0108	OM2014-0324	2014-01-27	carriage	Klebsiella pneumoniae	ST394	30
ERR2303483	KPN96	NCS-0108	OM2014-0324	2014-01-27	carriage	Klebsiella pneumoniae	ST432	23
