strain	Sample	idnum	specnum	date	Isolate_from	species	ST	cluster
SRR5877449	SRR5877449	NCS-0002	OM2013-1543	2013-09-13	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST1191-1LV	54
SRR5877450	SRR5877450	NCS-0023	OM2013-1804	2013-10-08	carriage	Klebsiella pneumoniae	ST307	33
SRR5877451	SRR5877451	NCS-0023	OM2013-1804	2013-10-08	carriage	Klebsiella pneumoniae	ST22	55
SRR5877452	SRR5877452	NCS-0006	OM2013-1830	2013-10-10	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST1504	56
SRR5877453	SRR5877453	NCS-0003	OM2013-1517	2013-09-12	carriage	Klebsiella pneumoniae	ST11	57
SRR5877454	SRR5877454	NCS-0035	OM2013-1947	2013-10-21	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST283	58
SRR5877455	SRR5877455	NCS-0010	OM2013-1674	2013-09-25	carriage	Klebsiella pneumoniae	ST22	59
SRR5877456	SRR5877456	NCS-0022	OM2013-1794	2013-10-07	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST414	47
SRR5877457	SRR5877457	NCS-0004	OM2013-1518	2013-09-12	carriage	Klebsiella pneumoniae	ST268	60
SRR5877458	SRR5877458	NCS-0032	OM2013-1925	2013-10-18	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST1473	61
SRR5877459	SRR5877459	NCS-0016	OM2013-1723	2013-09-30	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST1115-2LV	62
SRR5877460	SRR5877460	NCS-0021	OM2013-1829	2013-10-10	carriage	Klebsiella pneumoniae	ST15	63
SRR5877461	SRR5877461	NCS-0027	OM2013-1894	2013-10-16	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST138	64
SRR5877462	SRR5877462	NCS-0014	OM2013-1791	2013-10-07	carriage	Klebsiella pneumoniae	ST22	59
SRR5877463	SRR5877463	NCS-0021	OM2013-1829	2013-10-10	carriage	Klebsiella pneumoniae	ST252	65
SRR5877464	SRR5877464	NCS-0011	OM2013-1873	2013-10-14	carriage	Klebsiella pneumoniae	ST15	63
SRR5877465	SRR5877465	NCS-0003	OM2013-1548	2013-09-14	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST1191	66
SRR5877466	SRR5877466	NCS-0018	OM2013-1761	2013-10-05	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST1834-2LV	46
SRR5877467	SRR5877467	NCS-0006	OM2013-1870	2013-10-14	carriage	Klebsiella pneumoniae	ST29	18
SRR5877468	SRR5877468	NCS-0035	OM2013-1933	2013-10-18	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST283	58
SRR5877469	SRR5877469	NCS-0026	OM2013-1871	2013-10-14	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST414	47
SRR5877470	SRR5877470	NCS-0017	OM2013-1738	2013-10-01	carriage	Klebsiella pneumoniae	ST2353	67
SRR5877471	SRR5877471	NCS-0011	OM2013-1827	2013-10-10	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST1834-2LV	46
SRR5877472	SRR5877472	NCS-0037	OM2013-1988	2013-10-24	carriage	Klebsiella pneumoniae	ST1	68
SRR5877473	SRR5877473	NCS-0031	OM2013-1896	2013-10-16	carriage	Klebsiella pneumoniae	ST29	18
SRR5877474	SRR5877474	NCS-0026	OM2013-1843	2013-10-11	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST414	47
SRR5877475	SRR5877475	NCS-0015	OM2013-1687	2013-09-26	carriage	Klebsiella pneumoniae	ST234	53
SRR5877476	SRR5877476	NCS-0011	OM2013-1892	2013-10-16	carriage	Klebsiella pneumoniae	ST15	63
SRR5877477	SRR5877477	NCS-0001	OM2013-1520	2013-09-12	carriage	Klebsiella pneumoniae	ST76	69
SRR5877478	SRR5877478	NCS-0031	OM2013-1944	2013-10-21	carriage	Klebsiella pneumoniae	ST252	65
SRR5877479	SRR5877479	NCS-0031	OM2013-1990	2013-10-24	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST1191	70
SRR5877480	SRR5877480	NCS-0030	OM2013-1946	2013-10-21	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST334	71
SRR5877481	SRR5877481	NCS-0011	OM2013-1796	2013-10-07	carriage	Klebsiella pneumoniae	ST20	19
SRR5877482	SRR5877482	NCS-0018	OM2013-1739	2013-10-01	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST1834-2LV	46
SRR5877483	SRR5877483	NCS-0007	OM2013-1688	2013-09-26	carriage	Klebsiella pneumoniae	ST22	59
SRR5877484	SRR5877484	NCS-0006	OM2013-1830	2013-10-10	carriage	Klebsiella pneumoniae	ST20	19
SRR5877485	SRR5877485	NCS-0033	OM2013-1942	2013-10-21	carriage	Klebsiella pneumoniae	ST70	72
SRR5877486	SRR5877486	NCS-0005	OM2013-1645	2013-09-23	carriage	Klebsiella pneumoniae	ST656	73
SRR5877487	SRR5877487	NCS-0027	OM2013-1903	2013-10-17	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST414	47
SRR5877488	SRR5877488	NCS-0029	OM2013-1897	2013-10-16	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST1834-2LV	46
SRR5877489	SRR5877489	NCS-0022	OM2013-1807	2013-10-08	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST283-3LV	74
SRR5877490	SRR5877490	NCS-0016	OM2013-1760	2013-10-05	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST1115-2LV	62
SRR5877491	SRR5877491	NCS-0014	OM2013-1824	2013-10-10	carriage	Klebsiella pneumoniae	ST22	59
SRR5877492	SRR5877492	NCS-0006	OM2013-1646	2013-09-23	carriage	Klebsiella pneumoniae	ST20	19
SRR5877493	SRR5877493	NCS-0030	OM2013-1946	2013-10-21	carriage	Klebsiella pneumoniae	ST25	75
SRR5877494	SRR5877494	NCS-0007	OM2013-1696	2013-09-27	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST1191	70
SRR5877495	SRR5877495	NCS-0029	OM2013-1926	2013-10-18	carriage	Klebsiella pneumoniae	ST15	63
SRR5877496	SRR5877496	NCS-0025	OM2013-1856	2013-10-13	carriage	Klebsiella pneumoniae	ST22	16
SRR5877497	SRR5877497	NCS-0023	OM2013-1828	2013-10-10	carriage	Klebsiella pneumoniae	ST307	33
SRR5877498	SRR5877498	NCS-0011	OM2013-1827	2013-10-10	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST1834-2LV	46
SRR5877499	SRR5877499	NCS-0023	OM2013-1889	2013-10-16	carriage	Klebsiella pneumoniae	ST16	76
SRR5877500	SRR5877500	NCS-0034	OM2013-1932	2013-10-18	carriage	Klebsiella pneumoniae	ST502-1LV	77
SRR5877501	SRR5877501	NCS-0031	OM2013-1907	2013-10-17	carriage	Klebsiella pneumoniae	ST29	18
SRR5877502	SRR5877502	NCS-0021	OM2013-1829	2013-10-10	carriage	Klebsiella pneumoniae	ST17	17
SRR5877503	SRR5877503	NCS-0022	OM2013-1807	2013-10-08	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST414	47
SRR5877504	SRR5877504	NCS-0005	OM2013-1605	2013-09-19	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST1191	70
SRR5877505	SRR5877505	NCS-0029	OM2013-1905	2013-10-17	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST334	71
SRR5877506	SRR5877506	NCS-0030	OM2013-1906	2013-10-17	carriage	Klebsiella pneumoniae	ST15	63
SRR5877507	SRR5877507	NCS-0007	OM2013-1607	2013-09-19	carriage	Klebsiella pneumoniae	ST22	59
SRR5877508	SRR5877508	NCS-0016	OM2013-1698	2013-09-27	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST1473	61
SRR5877509	SRR5877509	NCS-0029	OM2013-1897	2013-10-16	carriage	Klebsiella pneumoniae	ST15	63
SRR5877510	SRR5877510	NCS-0014	OM2013-1824	2013-10-10	carriage	Klebsiella pneumoniae	ST22	59
SRR5877511	SRR5877511	NCS-0002	OM2013-1543	2013-09-13	carriage	Klebsiella pneumoniae	ST656	73
SRR5877512	SRR5877512	NCS-0010	OM2013-1648	2013-09-23	carriage	Klebsiella pneumoniae	ST15	63
SRR5877513	SRR5877513	NCS-0023	OM2013-1874	2013-10-14	carriage	Klebsiella pneumoniae	ST16	76
SRR5877514	SRR5877514	NCS-0036	OM2013-1985	2013-10-24	carriage	Klebsiella pneumoniae	ST409	13
SRR5877515	SRR5877515	NCS-0010	OM2013-1648	2013-09-23	carriage	Klebsiella pneumoniae	ST29	18
SRR5877516	SRR5877516	NCS-0007	OM2013-1649	2013-09-23	carriage	Klebsiella pneumoniae	ST22	59
SRR5877517	SRR5877517	NCS-0024	OM2013-1872	2013-10-14	carriage	Klebsiella pneumoniae	ST15	63
SRR5877518	SRR5877518	NCS-0011	OM2013-1873	2013-10-14	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST1834-2LV	46
SRR5877519	SRR5877519	NCS-0034	OM2013-1948	2013-10-21	carriage	Klebsiella pneumoniae	ST502-1LV	77
SRR5877520	SRR5877520	NCS-0001	OM2013-1520	2013-09-12	carriage	Klebsiella pneumoniae	ST36	78
SRR5877521	SRR5877521	NCS-0036	OM2013-1959	2013-10-21	carriage	Klebsiella pneumoniae	ST409	13
SRR5877522	SRR5877522	NCS-0006	OM2013-1870	2013-10-14	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST1504	56
SRR5877523	SRR5877523	NCS-0024	OM2013-1872	2013-10-14	carriage	Klebsiella pneumoniae	ST252	65
SRR5877524	SRR5877524	NCS-0001	OM2013-1549	2013-09-14	carriage	Klebsiella pneumoniae	ST15	63
SRR5877525	SRR5877525	NCS-0027	OM2013-1903	2013-10-17	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST1834-2LV	46
SRR5877526	SRR5877526	NCS-0030	OM2013-1895	2013-10-16	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST334	71
SRR5877527	SRR5877527	NCS-0031	OM2013-1944	2013-10-21	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST477	79
SRR5877528	SRR5877528	NCS-0036	OM2013-1985	2013-10-24	carriage	Klebsiella pneumoniae	ST29	18
SRR5877529	SRR5877529	NCS-0017	OM2013-1729	2013-09-30	carriage	Klebsiella pneumoniae	ST2353	67
SRR5877530	SRR5877530	NCS-0007	OM2013-1569	2013-09-16	carriage	Klebsiella pneumoniae	ST22	59
SRR5877531	SRR5877531	NCS-0005	OM2013-1669	2013-09-24	carriage	Klebsiella pneumoniae	ST76	69
SRR5877532	SRR5877532	NCS-0008	OM2013-1588	2013-09-17	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST1191	70
SRR5877533	SRR5877533	NCS-0013	OM2013-1676	2013-09-25	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST414	80
SRR5878374	SRR5878374	NCSE-02	OM2013-1778	2013-10-07	environmental	Klebsiella pneumoniae	ST20	19
SRR5878375	SRR5878375	NCSE-02	OM2013-1864	2013-10-14	environmental	Klebsiella pneumoniae	ST309	3
SRR5878376	SRR5878376	NCSE-06	OM2013-1657	2013-09-23	environmental	Klebsiella pneumoniae	ST22	59
SRR5878377	SRR5878377	NCSE-02	OM2013-1951	2013-10-21	environmental	Klebsiella pneumoniae	ST20	19
SRR5878378	SRR5878378	NCSE-02	OM2013-1864	2013-10-14	environmental	Klebsiella pneumoniae	ST883-1LV	81
SRR5878379	SRR5878379	NCSE-05	OM2013-1866	2013-10-14	environmental	Klebsiella pneumoniae	ST101	82
